Company_name,Company_size,Description,Img_Url,Industry,Job_function,Job_type,Location,Salary,Title,apply_link
Pilot Flying J,10000+ Employees,"Pilot Flying J is seeking an experienced Retail General Manager to oversee our high-volume retail facilities. You will be responsible for the generation and execution of travel center and restaurant business plans to achieve established standards, sales and profit objectives as well as customer satisfaction. The Retail General Manager will also be: As a Retail General Manager for Pilot Flying J, you will build, coach, manage and develop teams from a staffing, interviewing, hiring and training standpoint. Additional responsibilities for the Retail General Manager include: As a Retail General Manager, you must exemplify integrity and accountability at the managerial level as well as demonstrate excellent team leadership skills. Furthermore, you must be able to work a flexible schedule of nights, days, weekends and holidays. Additional requirements of the Retail General Manager include: Job Type: Full-time Pay: $50,000.00 - $70,000.00 per year Benefits: Schedule: Supplemental Pay: Experience: Application Question: district service manager managing director store director branch manager director of operations manager trainee Glassdoor has millions of jobs plus salary information, company reviews, and interview questions from people on the inside making it easy to find a job that’s right for you. Glassdoor Employers Community Work With Us Copyright © 2008–2021, Glassdoor, Inc. ""Glassdoor"" and logo are registered trademarks of Glassdoor, Inc. ",https://media.glassdoor.com/sql/5534/pilot-flying-j-squarelogo-1594837448527.png,Retail,general manager,Full-time,"Bismarck, ND",$36K - $81K ,Retail General Manager - Relocation Required,"https://www.glassdoor.com/job-listing/retail-general-manager-relocation-required-pilot-flying-j-JV_IC1156224_KO0,42_KE43,57.htm?jl=3802046975&pos=108&ao=1044077&s=58&guid=000001776d692b9ca71f24e3c306b1d1&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_f6de99ef&cb=1612448345114&jobListingId=3802046975&ctt=1612448349583"
Talkspace,51 to 200 Employees,"Join the world’s leading online therapy platform and provide care on your schedule, all from the comfort of home. Talkspace is an online therapy platform that will connect you with clients in your state through an easy-to-use and HIPAA-compliant app. Exchange text, video, and audio messages with your clients from anywhere, at any time — as long as you do so daily, 5 days/week. Our platform also supports Live Video Sessions. To participate in the Talkspace clinical network, all providers are required to possess the following: Note: Talkspace therapists only work with clients in the state(s) where they are licensed and allowed to practice independently Your clients are waiting. Join our network of thousands of clinicians and become a leader in the mental health field. Job Type: Contract Benefits: Additional Compensation: Work Location: Work Remotely: mental health professional clinical counselor behavioral health therapist mental health program manager mental health clinician clinical social worker Glassdoor has millions of jobs plus salary information, company reviews, and interview questions from people on the inside making it easy to find a job that’s right for you. Glassdoor Employers Community Work With Us Copyright © 2008–2021, Glassdoor, Inc. ""Glassdoor"" and logo are registered trademarks of Glassdoor, Inc. ",https://media.glassdoor.com/sql/1284778/talkspace-squarelogo-1497516850457.png,Health Care,mental health counselor,Full-time,"Bismarck, ND",$23K - $39K ,Mental Health Counselor,https://www.talkspace.com/join-our-network/therapist?utm_source=indeed&utm_medium=ssm&utm_campaign=Indeed_MHC_Bismarck
Pilot Flying J,10000+ Employees,"Pilot Flying J is seeking an experienced Retail General Manager to oversee our high-volume retail facilities. You will be responsible for the generation and execution of travel center and restaurant business plans to achieve established standards, sales and profit objectives as well as customer satisfaction. The Retail General Manager will also be: As a Retail General Manager for Pilot Flying J, you will build, coach, manage and develop teams from a staffing, interviewing, hiring and training standpoint. Additional responsibilities for the Retail General Manager include: As a Retail General Manager, you must exemplify integrity and accountability at the managerial level as well as demonstrate excellent team leadership skills. Furthermore, you must be able to work a flexible schedule of nights, days, weekends and holidays. Additional requirements of the Retail General Manager include: Job Type: Full-time Pay: $50,000.00 - $70,000.00 per year Benefits: Schedule: Supplemental Pay: Experience: Application Question: managing director store director district service manager director of operations branch manager department manager Glassdoor has millions of jobs plus salary information, company reviews, and interview questions from people on the inside making it easy to find a job that’s right for you. Glassdoor Employers Community Work With Us Copyright © 2008–2021, Glassdoor, Inc. ""Glassdoor"" and logo are registered trademarks of Glassdoor, Inc. ",https://media.glassdoor.com/sql/5534/pilot-flying-j-squarelogo-1594837448527.png,Retail,general manager,Full-time,"Bismarck, ND",$36K - $81K ,Retail General Manager - Relocation Required,"https://www.glassdoor.com/job-listing/retail-general-manager-relocation-required-pilot-flying-j-JV_IC1156224_KO0,42_KE43,57.htm?jl=3802046975&pos=108&ao=1044077&s=58&guid=000001776d692b9ca71f24e3c306b1d1&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_f6de99ef&cb=1612448345114&jobListingId=3802046975&ctt=1612448349631"
Fargo Glass and Paint,N/A,"Installation of frames and glass at commercial job sites, repair broken residential windows, install and service shower doors. Monday-Friday 8:00am-5:00pm; overtime occasionally This is a full-time position and is benefit eligible. Job Type: Full-time Pay: $19.74 - $24.68 per hour Benefits: Schedule: Experience: License: Labor type: Company's website: Benefit Conditions: Work Remotely: automonteur ordertrekker automotive technicus wagenparkmonteur automotive service technicus automobiel instructeur Glassdoor has millions of jobs plus salary information, company reviews, and interview questions from people on the inside making it easy to find a job that’s right for you. Glassdoor Employers Community Work With Us Copyright © 2008–2021, Glassdoor, Inc. ""Glassdoor"" and logo are registered trademarks of Glassdoor, Inc. ",,N/A,auto glass technician,Full-time,"Bismarck, ND",,Commercial Glass Installer - Glazier,https://www.fargoglass.com/gf-job-app/
hibu Inc,1001 to 5000 Employees,"Job Type: Full-time account rep sales consultant vice president strategic account wealth advisor account development representative territory sales director Glassdoor has millions of jobs plus salary information, company reviews, and interview questions from people on the inside making it easy to find a job that’s right for you. Glassdoor Employers Community Work With Us Copyright © 2008–2021, Glassdoor, Inc. ""Glassdoor"" and logo are registered trademarks of Glassdoor, Inc. ",https://media.glassdoor.com/sql/7640/hibu-squarelogo-1541795936450.png,Business Services,outside sales representative,Full-time,"Bismarck, ND",,Outside Sales Representative - B2B,"https://www.glassdoor.com/job-listing/outside-sales-representative-b2b-hibu-JV_IC1156224_KO0,32_KE33,37.htm?jl=3812686275&pos=101&ao=1044077&s=149&guid=000001776d692b9c91ee5d8a97d692d5&src=GD_JOB_AD&t=SRFJ&vt=w&ea=1&cs=1_e7289f82&cb=1612448345104&jobListingId=3812686275&ctt=1612448349978"
Midnite Express,N/A,"Drivers can earn up to $.60 per mile to start , based out of our terminal in West Fargo, ND, is looking for qualified   can earn up to $.60 per mile to start with GREAT Incentive Program. Midnite Express has been in business for over 30 years and has consistent long-term relationships with our customers, outstanding service by professional drivers, consistent miles and generous home time. Or call with Questions 1-800-726-8639 Recruiting Job Type: Full-time Pay: Up to $0.60 per mile Benefits: Schedule: Supplemental Pay: Trucking Route: License/Certification: Work Remotely: car hauler independent contractor dump truck driver food grade tanker driver ltl driver heavy haul truck driver Glassdoor has millions of jobs plus salary information, company reviews, and interview questions from people on the inside making it easy to find a job that’s right for you. Glassdoor Employers Community Work With Us Copyright © 2008–2021, Glassdoor, Inc. ""Glassdoor"" and logo are registered trademarks of Glassdoor, Inc. ",,N/A,owner operator,Full-time,"Bismarck, ND",,Class A CDL Truck Drivers - OTR Drivers & Owner Operators,https://www.midniteexpressdrivers.com/?utm_source=GearUp_indeed_allcities&utm_medium=cpc&utm_campaign=indeed
Fargo Glass and Paint,N/A,"Installation of frames and glass at commercial job sites, repair broken residential windows, install and service shower doors. Monday-Friday 8:00am-5:00pm; overtime occasionally This is a full-time position and is benefit eligible. Job Type: Full-time Pay: $19.74 - $24.68 per hour Benefits: Schedule: Experience: License: Labor type: Company's website: Benefit Conditions: Work Remotely: automonteur ordertrekker automotive technicus wagenparkmonteur automotive service technicus automobiel instructeur Glassdoor has millions of jobs plus salary information, company reviews, and interview questions from people on the inside making it easy to find a job that’s right for you. Glassdoor Employers Community Work With Us Copyright © 2008–2021, Glassdoor, Inc. ""Glassdoor"" and logo are registered trademarks of Glassdoor, Inc. ",,N/A,auto glass technician,Full-time,"Bismarck, ND",,Commercial Glass Installer - Glazier,https://www.fargoglass.com/gf-job-app/
Fargo Glass and Paint,N/A,"Installation of frames and glass at commercial job sites, repair broken residential windows, install and service shower doors. Monday-Friday 8:00am-5:00pm; overtime occasionally This is a full-time position and is benefit eligible. Job Type: Full-time Pay: $19.74 - $24.68 per hour Benefits: Schedule: Experience: License: Labor type: Company's website: Benefit Conditions: Work Remotely: automonteur ordertrekker automotive technicus wagenparkmonteur automotive service technicus automobiel instructeur Glassdoor has millions of jobs plus salary information, company reviews, and interview questions from people on the inside making it easy to find a job that’s right for you. Glassdoor Employers Community Work With Us Copyright © 2008–2021, Glassdoor, Inc. ""Glassdoor"" and logo are registered trademarks of Glassdoor, Inc. ",,N/A,auto glass technician,Full-time,"Bismarck, ND",,Commercial Glass Installer - Glazier,https://www.fargoglass.com/gf-job-app/
Talkspace,51 to 200 Employees,"Join the world’s leading online therapy platform and provide care on your schedule, all from the comfort of home. Talkspace is an online therapy platform that will connect you with clients in your state through an easy-to-use and HIPAA-compliant app. Exchange text, video, and audio messages with your clients from anywhere, at any time — as long as you do so daily, 5 days/week. Our platform also supports Live Video Sessions. To participate in the Talkspace clinical network, all providers are required to possess the following: Note: Talkspace therapists only work with clients in the state(s) where they are licensed and allowed to practice independently Your clients are waiting. Join our network of thousands of clinicians and become a leader in the mental health field. Job Type: Contract Benefits: Additional Compensation: Work Location: Work Remotely: behavioral health therapist clinical counselor mental health professional mental health program manager mental health clinician clinical social worker Glassdoor has millions of jobs plus salary information, company reviews, and interview questions from people on the inside making it easy to find a job that’s right for you. Glassdoor Employers Community Work With Us Copyright © 2008–2021, Glassdoor, Inc. ""Glassdoor"" and logo are registered trademarks of Glassdoor, Inc. ",https://media.glassdoor.com/sql/1284778/talkspace-squarelogo-1497516850457.png,Health Care,mental health counselor,Full-time,"Bismarck, ND",$23K - $39K ,Mental Health Counselor,https://www.talkspace.com/join-our-network/therapist?utm_source=indeed&utm_medium=ssm&utm_campaign=Indeed_MHC_Bismarck
Pilot Flying J,10000+ Employees,"Pilot Flying J is seeking an experienced Retail General Manager to oversee our high-volume retail facilities. You will be responsible for the generation and execution of travel center and restaurant business plans to achieve established standards, sales and profit objectives as well as customer satisfaction. The Retail General Manager will also be: As a Retail General Manager for Pilot Flying J, you will build, coach, manage and develop teams from a staffing, interviewing, hiring and training standpoint. Additional responsibilities for the Retail General Manager include: As a Retail General Manager, you must exemplify integrity and accountability at the managerial level as well as demonstrate excellent team leadership skills. Furthermore, you must be able to work a flexible schedule of nights, days, weekends and holidays. Additional requirements of the Retail General Manager include: Job Type: Full-time Pay: $50,000.00 - $70,000.00 per year Benefits: Schedule: Supplemental Pay: Experience: Application Question: managing director store director district service manager director of operations branch manager department manager Glassdoor has millions of jobs plus salary information, company reviews, and interview questions from people on the inside making it easy to find a job that’s right for you. Glassdoor Employers Community Work With Us Copyright © 2008–2021, Glassdoor, Inc. ""Glassdoor"" and logo are registered trademarks of Glassdoor, Inc. ",https://media.glassdoor.com/sql/5534/pilot-flying-j-squarelogo-1594837448527.png,Retail,general manager,Full-time,"Bismarck, ND",$36K - $81K ,Retail General Manager - Relocation Required,"https://www.glassdoor.com/job-listing/retail-general-manager-relocation-required-pilot-flying-j-JV_IC1156224_KO0,42_KE43,57.htm?jl=3802046975&pos=108&ao=1044077&s=58&guid=000001776d692b9ca71f24e3c306b1d1&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_f6de99ef&cb=1612448345114&jobListingId=3802046975&ctt=1612448351439"
